queue_rank,candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,pass_1_status,pass_2_status,final_membership_decision,quarantine_reasons
207,BDB-50266084,50266084,O=C(c1ccccc1)c1sc(N(Cc2ccccc2)Cc2ccco2)nc1-c1ccco1,UXTNNVIYBQKXOL-UHFFFAOYSA-N,CC(C1CCCCC1)C1CC(C(CC2CCCCC2)CC2CCCC2)CC1C1CCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
208,BDB-50555723,50555723,Nc1nc(-c2ccc(NC(=O)CCNCc3ccc(S(N)(=O)=O)cc3)cc2)cn2c(=O)n(-c3ccccc3)nc12,YKNBYIQXICDOOY-UHFFFAOYSA-N,CC(CCCCC1CCCCC1)CC1CCC(C2CCC3CC(C4CCCCC4)C(C)C3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
209,BDB-50262150,50262150,Nc1nc(CN[C@H]2CCCN2Cc2ccnc(Cl)c2)nc2nc(-c3ccco3)nn12,CQNPTEQAAAOVKX-MRXNPFEDSA-N,C1CCC(CC2CCCC2CCC2CCC3CC(C4CCCC4)CC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
210,BDB-50478209,50478209,O=C(Nc1nc2ccccc2n2nc(-c3ccco3)nc12)c1ccco1,SZACFGFCZCXEEA-UHFFFAOYSA-N,CC(CC1CC2CCCCC2C2CC(C3CCCC3)CC12)C1CCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
211,BDB-50026819,50026819,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)Nc5ccc(OC(=O)CCCC[C@@H]6SC[C@@H]7NC(=O)N[C@@H]76)c([N+](=O)[O-])c5)cc4)nc32)[C@H](O)[C@@H]1O,MUXUIVVLQXFMRX-CXJTVLAKSA-N,CC(CCCCC1CCC2CC(C)CC12)CC1CCC(CC(C)CCC2CCC(CCCC3CCC4CCC(C5CCCC5)C4C3)CC2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
212,BDB-50389918,50389918,Cn1cc2c(nc(NC(=O)NC3CCN(C(=O)NCCc4ccccc4)CC3)n3nc(-c4ccco4)nc23)n1,JONIAMPRFRZSLQ-UHFFFAOYSA-N,CC(CC1CCC(C(C)CCCC2CCCCC2)CC1)CC1CC2CCCC2C2CC(C3CCCC3)CC12,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
213,BDB-50432634,50432634,CCOc1cccc2cc(C(=O)NCc3ccccn3)c(=N)oc12,WZFUWGODTRDSBO-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CC2CCCCC2CC1C,quarantine_nonprimary_source,quarantine,quarantine,pass_1_rejected|unresolved_assay_type|unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
214,BDB-50199460,50199460,OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(N[C@H](C4CCC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,YLEQGEOHZFVIAR-QZUDQQPUSA-N,C1CC(C(CC2CCCC3C2CCC3C2CCC3CC32)C2CC2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
215,BDB-50003108,50003108,O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)N1CCc2ccccc2C1,SJVLZHJJIWSOJI-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3C(C)C(CC4CC4)C(C)C(CC4CC4)C3C2)CC1)C1CCC2CCCCC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
216,BDB-50306777,50306777,Nc1c(C(=O)Nc2nccs2)sc2nc3c(cc12)C(=O)CCC3,IWDKSIOHIYCOBV-UHFFFAOYSA-N,CC(CC1CCCC1)C1CC2CC3CCCC(C)C3CC2C1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
217,BDB-50399597,50399597,Cn1cc2c(nc(NC(c3ccccc3)c3ccccc3)n3nc(-c4ccco4)nc23)n1,MKTDHKFRAQCBTM-UHFFFAOYSA-N,C1CCC(C(CC2CC3CCCC3C3CC(C4CCCC4)CC23)C2CCCCC2)CC1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
218,BDB-50266022,50266022,O=C(c1ccccc1)c1sc(NCCc2ccc3c(c2)OCO3)nc1-c1ccco1,ORZFUSWWXUVGND-UHFFFAOYSA-N,CC(C1CCCCC1)C1CC(CCCC2CCC3CCCC3C2)CC1C1CCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
219,BDB-50366686,50366686,Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,VRKBZQOPVJHRLW-VFIQZALSSA-N,CC(CCC1CC2CCCCC2C1C1CCCC1)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
220,BDB-50559043,50559043,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)OCCCOCCOCCOCCCNC(=S)Nc4ccc(-c5c6ccc(=O)cc-6oc6cc(O)ccc56)c(C(=O)O)c4)cc3)n3nc(-c4ccco4)nc23)n1,PQBREZGPWVFSIR-UHFFFAOYSA-N,CC(CCCCCCCCCCCCCCCC(C)CC1CCC(C2C3CCCCC3CC3CC(C)CCC32)CC1)CC1CCC(CC(C)CC2CC3CCCC3C3CC(C4CCCC4)CC23)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
221,BDB-50268247,50268247,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(CCc5ccccc5)CC4)cc3)[nH]c2c1=O,UOSGXUGKZYRNKU-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(C(C)(C)C4CCC(CCC5CCCCC5)CC4)CC3)CC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
222,BDB-50580289,50580289,Nc1nc(NCCCc2ccc(C(=O)NO)cc2)nc2nc(-c3ccco3)nn12,HDCIDGKVVBLQNA-UHFFFAOYSA-N,C1CCC(CCCCC2CCC3CC(C4CCCC4)CC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
223,BDB-50393169,50393169,Cn1c(=O)c2c(nc3n2CCN3C2CCCCC2)n(C)c1=O,HRBBCJVEDBRVEG-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(C3CCCCC3)CCC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
224,BDB-50584629,50584629,N#Cc1c(-c2ccccc2)nc(Nc2ccccc2)nc1-c1ccoc1,UTSMDVBQXYDAIT-UHFFFAOYSA-N,C1CCC(CC2CC(C3CCCCC3)CC(C3CCCC3)C2)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_stereochemistry|unresolved_units
225,BDB-50266052,50266052,O=C(c1ccccc1)c1sc(NCCCc2ccccc2)nc1-c1ccco1,VZEXLUMZSFKUJP-UHFFFAOYSA-N,CC(C1CCCCC1)C1CC(CCCCC2CCCCC2)CC1C1CCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
226,BDB-50399560,50399560,Cn1cc2c(nc(NCCc3c[nH]c4ccccc34)n3nc(-c4ccco4)nc23)n1,QCJSUMWNJLEJCF-UHFFFAOYSA-N,C1CCC(C2CC3C(CCCC4CCC5CCCCC54)CC4CCCC4C3C2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
227,BDB-50392831,50392831,COc1ccccc1NC(=O)Nc1nnc(-c2ccccc2)[nH]1,FSGLHDPNBSOZED-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CCC(C2CCCCC2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
228,BDB-50275914,50275914,CC(=O)Nc1cc(-c2cccc(CO[C@@H]3CCN(C)C3)c2)nc(-n2nc(C)cc2C)n1,HQGPRKKHKJMXJP-HXUWFJFHSA-N,C1CCC(CCC2CCCC(C3CCCC(C4CCCC4)C3)C2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
229,BDB-50003212,50003212,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(C(=O)OCc5ccccc5)CC4)cc3)cc2n(CCC)c1=O,WQNHFQJVMCIZLP-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCC(C(C)CCC5CCCCC5)CC4)CC3)CC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
230,BDB-50237076,50237076,Cc1cc(C)n(-c2cc(NC(=O)COc3cc(F)cc(CN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,XHZNAIPWEJMXIP-UHFFFAOYSA-N,CC(CCC1CCCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
231,BDB-50399581,50399581,Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1,OTZPDZBHTVRFPM-UHFFFAOYSA-N,C1CC(CC2CC3CCCC3C3CC(C4CCCC4)CC23)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
232,BDB-50386113,50386113,COc1cccc2cc(C(=O)NCCCN3CCN(CCCNC(=O)c4cc5cccc(OC)c5oc4=N)CC3)c(=N)oc12,HFQZOXVLNQONST-UHFFFAOYSA-N,CC(CCCCC1CCC(CCCCC(C)C2CC3CCCCC3CC2C)CC1)C1CC2CCCCC2CC1C,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
233,BDB-50119131,50119131,Nc1nc(-n2cc(C(=O)NC3CCCC3)cn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OMYIZCDTYNHUGF-XWXWGSFUSA-N,CC(CC1CCCC1)C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
