record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
GTPDB-418,CGS 24012,GtoPdb:418,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCC(c1ccccc1C)c1cc(OC)cc(c1)OC,GtoPdb 2026.2 human A2A,independent_curated_database,418,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=418,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,COc1cc(OC)cc(C(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccccc2C)c1,BUHVIAUBTBOHAG-FOYDDCNASA-N,c1ccc(C(CNc2ncnc3c2ncn3[C@H]2CCCO2)c2ccccc2)cc1,C1CCC(C(CCC2CCCC3C(C4CCCC4)CCC23)C2CCCCC2)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-422,piclidenoson,GtoPdb:422,CNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCc1cccc(c1)I,GtoPdb 2026.2 human A2A,independent_curated_database,422,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=422,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,HUJXGQILHAUCCV-MOROJQBDSA-N,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,False,structure_present_in_prefreeze_source_pool;historical_inchikey_overlap;historical_standardized_structure_overlap;historical_generic_murcko_scaffold_overlap
GTPDB-423,N(6)-cyclohexyladenosine,GtoPdb:423,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NC1CCCCC1,GtoPdb 2026.2 human A2A,independent_curated_database,423,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=423,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)ncnc32)[C@H](O)[C@@H]1O,SZBULDQSDUXAPJ-XNIJJKJLSA-N,c1nc(NC2CCCCC2)c2ncn([C@H]3CCCO3)c2n1,C1CCC(CC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-424,[<sup>3</sup>H]CGS 21680,GtoPdb:424,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(NCCc1ccc(cc1)CCC(=O)O)nc2N,GtoPdb 2026.2 human A2A,independent_curated_database,424,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=424,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,PAOANWZGLPPROA-RQXXJAGISA-N,c1ccc(CCNc2ncc3ncn([C@H]4CCCO4)c3n2)cc1,C1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap;duplicate_standardized_structure_in_snapshot
GTPDB-425,[<sup>3</sup>H]NECA,GtoPdb:425,CCNC(=O)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,GtoPdb 2026.2 human A2A,independent_curated_database,425,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=425,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,JADDQZYHOWSFJD-FLNNQWSLSA-N,c1ncc2ncn([C@H]3CCCO3)c2n1,C1CCC2C(C1)CCC2C1CCCC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap;duplicate_standardized_structure_in_snapshot
GTPDB-426,metrifudil,GtoPdb:426,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2NCc1ccccc1C,GtoPdb 2026.2 human A2A,independent_curated_database,426,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=426,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OOEMZCZWZXHBKW-SCFUHWHPSA-N,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,C1CCC(CCC2CCCC3C(C4CCCC4)CCC23)CC1,False,historical_generic_murcko_scaffold_overlap
GTPDB-427,CPX,GtoPdb:427,CCCn1c(=O)n(CCC)c2c(c1=O)[nH]cn2,GtoPdb 2026.2 human A2A,independent_curated_database,427,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=427,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]cnc2n(CCC)c1=O,MJVIGUCNSRXAFO-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,CC1CC(C)C2CCCC2C1,False,structure_present_in_prefreeze_source_pool
GTPDB-431,[<sup>3</sup>H]SCH 58261,GtoPdb:431,Nc1nc2n(CCc3ccccc3)ncc2c2n1nc(n2)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,431,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=431,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,UTLPKQYUXOEJIL-UHFFFAOYSA-N,c1ccc(CCn2ncc3c2ncn2nc(-c4ccco4)nc32)cc1,C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,False,structure_present_in_prefreeze_source_pool;historical_inchikey_overlap;historical_standardized_structure_overlap;historical_generic_murcko_scaffold_overlap;duplicate_standardized_structure_in_snapshot
GTPDB-432,[<sup>3</sup>H]XAC,GtoPdb:432,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1ccc(cc1)OCC(=O)NCCN,GtoPdb 2026.2 human A2A,independent_curated_database,432,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=432,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,FIQGIOAELHTLHM-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1,CC1CC(C)C2CC(C3CCCCC3)CC2C1,False,structure_present_in_prefreeze_source_pool;duplicate_standardized_structure_in_snapshot
GTPDB-449,MRS1754,GtoPdb:449,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1ccc(cc1)OCC(=O)Nc1ccc(cc1)C#N,GtoPdb 2026.2 human A2A,independent_curated_database,449,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=449,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,AJBBEYXFRYFVNM-UHFFFAOYSA-N,O=C(COc1ccc(-c2nc3[nH]c(=O)[nH]c(=O)c3[nH]2)cc1)Nc1ccccc1,CC(CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1)CC1CCCCC1,False,structure_present_in_prefreeze_source_pool;historical_generic_murcko_scaffold_overlap
