candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-50628403,50628403,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,CRLNRKLEXXPAHH-PRIMNGNOSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628404,50628404,Nc1nc(Cl)nc2c1nc(-c1ccco1)n2[C@@H]1SC[C@@H](O)[C@H]1O,NBTDHRMFLGVKNZ-XIGBOZDYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628406,50628406,Nc1nc(Cl)nc2c1nc(-c1cccs1)n2[C@@H]1SC[C@@H](O)[C@H]1O,YREJGOVMVZFJDC-XIGBOZDYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628410,50628410,CCCCC#Cc1nc(N)c2nc(-c3ccco3)n([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,LCEQNZWFBWECDK-PRIMNGNOSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection
BDB-50628411,50628411,CCCCC#Cc1nc(NC)c2nc(-c3ccco3)n([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,VCPHSIUPIXSXMW-CBLJQSSYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628412,50628412,CCCCC#Cc1nc(NC)c2nc(-c3cccs3)n([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,PESFGYYNBLHZAJ-CBLJQSSYSA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628413,50628413,CNc1nc(Cl)nc2c1nc(-c1ccco1)n2[C@@H]1SC[C@@H](O)[C@H]1O,AXLBLGXKUIWSNY-CIQYLNAISA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50628414,50628414,CNc1nc(Cl)nc2c1nc(-c1cccs1)n2[C@@H]1SC[C@@H](O)[C@H]1O,PYSUNPAOADKPGK-CIQYLNAISA-N,C1CCC2C(C1)CC(C1CCCC1)C2C1CCCC1,10.1021/acs.jmedchem.3c00806,37603705,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50638392,50638392,CCCCC#Cc1nc2c(N)nc(-c3ccco3)nc2n1[C@@H]1OC[C@@H](O)[C@H]1O,MYHYECFOCSQRBC-PRIMNGNOSA-N,C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1,,38845345,1,True,True,pending_dual_review,quarantined_before_evidence_review,exact_structure_previously_visible|generic_scaffold_overlaps_model_selection
BDB-50638393,50638393,CCCCC#Cc1nc2c(NC)nc(-c3ccco3)nc2n1[C@@H]1OC[C@@H](O)[C@H]1O,DACJMPASLFHHOI-CBLJQSSYSA-N,C1CCC(C2CCC3CCC(C4CCCC4)C3C2)C1,,38845345,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
