molecule_id,standardized_inchikey,endpoint_name,functional_mode,aggregated_pactivity,measurement_count,assay_count,primary_document_count,interassay_sd,interassay_mad,minimum_pactivity,maximum_pactivity,high_disagreement_flag,development_partition,external_eligibility,review_status
CHEMBL2042304,QIMAEJZEQKSMHZ-UGCAPWQASA-N,pFunc_agonism,agonist,9.070000,1,1,1,,0.000000,9.070000,9.070000,False,development,False,admitted_exploratory
CHEMBL2042305,LPUCXUCWIQBLNE-KCIBBDPESA-N,pFunc_agonism,agonist,7.180000,1,1,1,,0.000000,7.180000,7.180000,False,development,False,admitted_exploratory
CHEMBL2042308,AGLLTBWZMRXXOV-FWBSXESASA-N,pFunc_agonism,agonist,6.440000,1,1,1,,0.000000,6.440000,6.440000,False,development,False,admitted_exploratory
CHEMBL2042310,KGGRLFLXKXSBIC-MPBXGEDSSA-N,pFunc_agonism,agonist,7.050000,1,1,1,,0.000000,7.050000,7.050000,False,development,False,admitted_exploratory
CHEMBL2070507,CGYRWWMWNACLSU-AEISUSGSSA-N,pBind_Ki,,7.470000,1,1,1,,0.000000,7.470000,7.470000,False,development,False,admitted_exploratory
CHEMBL2070507,CGYRWWMWNACLSU-AEISUSGSSA-N,pFunc_agonism,agonist,7.570000,1,1,1,,0.000000,7.570000,7.570000,False,development,False,admitted_exploratory
CHEMBL2070508,ISNMLOJARGEFLK-BQVMBELUSA-N,pBind_Ki,,6.190000,1,1,1,,0.000000,6.190000,6.190000,False,development,False,admitted_exploratory
CHEMBL2070508,ISNMLOJARGEFLK-BQVMBELUSA-N,pFunc_agonism,agonist,6.650000,1,1,1,,0.000000,6.650000,6.650000,False,development,False,admitted_exploratory
CHEMBL2153627,YRBJBKSUFQWHDB-UHFFFAOYSA-N,pBind_Ki,,6.380000,1,1,1,,0.000000,6.380000,6.380000,False,locked_holdout,False,admitted_exploratory
CHEMBL2153629,BMVNEXDBQUNWCE-UHFFFAOYSA-N,pBind_Ki,,6.510000,1,1,1,,0.000000,6.510000,6.510000,False,development,False,admitted_exploratory
CHEMBL2165804,MNUJNGGYFNZUNB-UHFFFAOYSA-N,pBind_Ki,antagonist,7.245000,2,2,2,2.114249,1.495000,5.750000,8.740000,True,development,False,admitted_exploratory
CHEMBL225459,OXLUZSPXALFOBX-NVQRDWNXSA-N,pBind_Ki,,6.820000,1,1,1,,0.000000,6.820000,6.820000,False,development,False,admitted_exploratory
