measurement_id,molecule_id,standardized_inchikey,endpoint_name,functional_mode,functional_mode_source,standard_type,standard_relation,standard_value,standard_units,pactivity_value,pactivity_recalculated,pactivity_absolute_difference,assay_chembl_id,target_chembl_id,target_gene,target_organism,target_type,target_confidence,assay_type,bao_format,cell_chembl_id,document_chembl_id,doi,pmid,document_type,source_retrieved_at,data_validity_comment,activity_comment,review_status,admission_reasons,development_partition
2110363,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,337.0,nM,6.47,6.472370,0.002370,CHEMBL950994,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1143166,10.1021/jm701159t,18269230,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2142200,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,129.0,nM,6.89,6.889410,0.000590,CHEMBL922856,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3307715,CHEMBL1143999,10.1016/j.bmc.2008.01.013,18258439,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2281136,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,130.0,nM,6.89,6.886057,0.003943,CHEMBL955116,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1153377,10.1016/j.bmc.2009.02.030,19282184,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2281750,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,260.0,nM,6.58,6.585027,0.005027,CHEMBL1012738,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1153402,10.1021/jm8014876,19301821,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2292179,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,130.0,nM,6.89,6.886057,0.003943,CHEMBL1014640,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3307715,CHEMBL1137738,10.1016/j.ejmech.2008.10.017,19036477,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
22992948,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,157.0,nM,6.80,6.804100,0.004100,CHEMBL4775662,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000249,,CHEMBL4765483,10.1021/acs.jmedchem.0c01431,33372800,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2339566,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,260.0,nM,6.58,6.585027,0.005027,CHEMBL955675,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1150363,10.1016/j.bmc.2008.04.039,18468446,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
24405840,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,antagonist,assay_text_rule,Ki,=,157.0,nM,6.80,6.804100,0.004100,CHEMBL5044920,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000249,,CHEMBL5042528,10.1021/acs.jmedchem.1c01636,35068155,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
25459851,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,antagonist,assay_text_rule,Ki,=,157.0,nM,6.80,6.804100,0.004100,CHEMBL5321396,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000249,,CHEMBL5321195,10.1021/acs.jmedchem.2c01768,36517209,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
2563459,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,130.0,nM,6.89,6.886057,0.003943,CHEMBL1000455,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3307715,CHEMBL1155896,10.1021/jm701594y,18637670,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
313272,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,200.0,nM,6.70,6.698970,0.001030,CHEMBL639492,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,B,BAO_0000249,,CHEMBL1149169,10.1021/jm030977p,15163184,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,non_human_context,development
313275,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,144.0,nM,6.84,6.841638,0.001638,CHEMBL642332,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,B,BAO_0000249,,CHEMBL1149169,10.1021/jm030977p,15163184,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3285628,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,130.0,nM,6.89,6.886057,0.003943,CHEMBL1120796,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1157749,10.1021/jm901785w,20408530,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
3560503,CHEMBL183,FFBDFADSZUINTG-UHFFFAOYSA-N,pBind_Ki,,unresolved,Ki,=,260.0,nM,6.58,6.585027,0.005027,CHEMBL1286673,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308376,CHEMBL1275345,10.1016/j.bmc.2010.09.043,20937560,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
