chembl_id,molecule_name,proposed_class,evidence_strength,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,standardized_smiles,standardized_inchikey,generic_scaffold,passes_prospective_property_filters,review_notes,curation_batch,batch_priority,reviewer_1,decision_1,reviewer_2,decision_2,adjudicator,final_decision
CHEMBL2377087,CHEMBL2377087,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccccc2)nc2sc(-c3ccccc3)cc12,DOOVOCKWYMYRGX-UHFFFAOYSA-N,C1CCC(C2CCC3CC(C4CCCCC4)CC3C2)CC1,True,,3,46,,,,,,
CHEMBL1573515,CHEMBL1573515,agonist,initial,1,1,1,CHEMBL5129738,CHEMBL5126601,Activity,Agonist activity at human adenosine A2A receptor expressed in HEK293T cells assessed as stimulation of cAMP accumulation by GloSensor cAMP accumulation assay,O=c1cc(NCc2ccccc2)nc2ccccn12,ZRWBHKXIXMTWJN-UHFFFAOYSA-N,CC1CC(CCC2CCCCC2)CC2CCCCC12,True,,3,47,,,,,,
CHEMBL2377088,CHEMBL2377088,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccccc2)nc2sc(Cc3ccccc3)cc12,YCJUYKBUDGJHNY-UHFFFAOYSA-N,C1CCC(CC2CC3CCC(C4CCCCC4)CC3C2)CC1,True,,3,48,,,,,,
CHEMBL2377089,CHEMBL2377089,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccccc2)nc2sc(CCc3ccccc3)cc12,CDJGHJCXXQGCRZ-UHFFFAOYSA-N,C1CCC(CCC2CC3CCC(C4CCCCC4)CC3C2)CC1,True,,3,49,,,,,,
CHEMBL2377095,CHEMBL2377095,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,C=C(c1ccccc1)c1cc2c(N)nc(-c3cccc(C#N)c3)nc2s1,BHVPOSFNSGUGIO-UHFFFAOYSA-N,CC(C1CCCCC1)C1CC2CCC(C3CCCCC3)CC2C1,True,,3,50,,,,,,
CHEMBL1950653,CHEMBL1950653,agonist,initial,1,1,1,CHEMBL1955229,CHEMBL1949672,Emax,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP production at 10 uM preincubated for 45 mins prior forskolin treatment measured after 15 mins by liquid scintillation spectrometry relative to 2-[p-(2-carboxyethyl)phenylethylamino]-5'-N-ethylcarboxamido-adenosine,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5ccccc5)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,BWHLYEQTTHPURZ-QLYQVZKDSA-N,CC(CCCC1CCCCC1)CCC1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,,4,1,,,,,,
CHEMBL2377096,CHEMBL2377096,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,N#Cc1cccc(-c2nc(N)c3cc(C4(c5ccccc5)CC4)sc3n2)c1,JWFFZYKQEFJTQY-UHFFFAOYSA-N,C1CCC(C2CCC3CC(C4(C5CCCCC5)CC4)CC3C2)CC1,True,,4,2,,,,,,
CHEMBL2377108,CHEMBL2377108,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Cc1ccc(-c2nc(N)c3cc(CCc4ccccc4)sc3n2)o1,CZCQGKAJTJOUKQ-UHFFFAOYSA-N,C1CCC(CCC2CC3CCC(C4CCCC4)CC3C2)CC1,True,,4,3,,,,,,
CHEMBL1950655,CHEMBL1950655,agonist,initial,1,1,1,CHEMBL1955229,CHEMBL1949672,Emax,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP production at 10 uM preincubated for 45 mins prior forskolin treatment measured after 15 mins by liquid scintillation spectrometry relative to 2-[p-(2-carboxyethyl)phenylethylamino]-5'-N-ethylcarboxamido-adenosine,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)OC)cc4)nc32)[C@H](O)[C@@H]1O,WPQKCNOVLXDKLF-SNPPRPGFSA-N,CC(CCCC1CCC2CCCCC21)CCC1CCC(CCCC2CCC3CCC(C4CCCC4)C3C2)CC1,False,,4,4,,,,,,
CHEMBL2377223,CHEMBL2377223,antagonist,initial,1,1,1,CHEMBL2380019,CHEMBL2375358,Ki,Antagonist activity at human adenosine A2a receptor expressed in CHOK1 cells assessed as inhibition of NECA/forskolin-induced cAMP accumulation incubated for 15 mins prior to NECA/forskolin challenge measured after 5.5 to 6 hrs by beta-galactosidase reporter gene assay,Nc1nc(-c2ccc(C3CC3)o2)nc2sc(Cc3ccccc3)cc12,NVNOBGYXPMPAEC-UHFFFAOYSA-N,C1CCC(CC2CC3CCC(C4CCC(C5CC5)C4)CC3C2)CC1,True,,4,5,,,,,,
